rank,title,title_english,title_japanese,type,members,score,year,image_url
33,Psychometrer Eiji,,サイコメトラーEIJI,Manga,4401,7.42,1996,https://cdn.myanimelist.net/images/manga/2/206035l.jpg
34,Sakende Yaruze!,Shout Out Loud!,叫んでやるぜ!,Manga,1104,7.41,1996,https://cdn.myanimelist.net/images/manga/3/275342l.jpg
34,Sensei!,,先生!,Manga,2143,7.41,1996,https://cdn.myanimelist.net/images/manga/1/1817l.jpg
36,9-banme no Musashi,Musashi #9,9番目のムサシ,Manga,1286,7.37,1996,https://cdn.myanimelist.net/images/manga/3/147771l.jpg
37,1999 Shanghai,,1999年七の月~上海,Manga,1916,7.36,1996,https://cdn.myanimelist.net/images/manga/1/27096l.jpg
37,Otoko ga Otoko wo Aisuru Toki Series,,男が男を愛する時 シリーズ,Manga,1268,7.36,1996,https://cdn.myanimelist.net/images/manga/1/25656l.jpg
39,F. Compo,,ファミリー・コンポ,Manga,5632,7.35,1996,https://cdn.myanimelist.net/images/manga/2/55751l.jpg
40,Inugami,Inugami,犬神,Manga,3679,7.32,1996,https://cdn.myanimelist.net/images/manga/3/185487l.jpg
40,Street Fighter: Sakura Ganbaru!,Street Fighter: Sakura Gives it Her Best!; Street Fighter Sakura Ganbaru!,さくら がんばる!,Manga,1304,7.32,1996,https://cdn.myanimelist.net/images/manga/3/270257l.jpg
42,Rurouni Kenshin: Meiji Kenkaku Romantan - Maki no Ichi,Rurouni Kenshin: Voyage to the Moon World,るろうに剣心 -明治剣客浪漫譚- 巻之一,Light Novel,1634,7.31,1996,https://cdn.myanimelist.net/images/manga/1/340490l.jpg
43,Shoujo Kakumei Utena,Revolutionary Girl Utena,少女革命ウテナ,Manga,14201,7.3,1996,https://cdn.myanimelist.net/images/manga/2/261415l.jpg
44,Fune ni Sumu,Boat Life,舟に棲む,Manga,530,7.29,1996,https://cdn.myanimelist.net/images/manga/1/196736l.jpg
45,Kiss,,キス,Manga,2519,7.28,1996,https://cdn.myanimelist.net/images/manga/1/159392l.jpg
46,Gravitation dj - Gravitation Remix,,Gravitation Remix,Doujinshi,2230,7.26,1996,https://cdn.myanimelist.net/images/manga/2/5712l.jpg
46,Loose Senki: Old Boy,Old Boy,ルーズ戦記 オールドボーイ,Manga,21232,7.26,1996,https://cdn.myanimelist.net/images/manga/1/179835l.jpg
48,Pokémon Pocket Monsters,Pokémon Pocket Monsters,ポケットモンスター,Manga,2834,7.25,1996,https://cdn.myanimelist.net/images/manga/1/293049l.jpg
49,Hokuto no Ken: Jubaku no Machi,,北斗の拳 呪縛の街,Light Novel,841,7.22,1996,https://cdn.myanimelist.net/images/manga/1/78795l.jpg
50,Double House,,ダブルハウス,Manga,3832,7.21,1996,https://cdn.myanimelist.net/images/manga/2/21131l.jpg
51,Kaine,Kaine,戒音,Manga,3381,7.2,1996,https://cdn.myanimelist.net/images/manga/2/960l.jpg
52,Shin Chuuka Ichiban!,,真・中華一番！,Manga,631,7.17,1996,https://cdn.myanimelist.net/images/manga/1/202376l.jpg
52,The Color of Earth,,황토빛이야기,Manhwa,683,7.17,1996,https://cdn.myanimelist.net/images/manga/5/197449l.jpg
54,Short Cuts,Short Cuts,ショートカッツ,Manga,3563,7.16,1996,https://cdn.myanimelist.net/images/manga/3/965l.jpg
